Lokterfogat,Hengerek szama,Suly,Vegsebesseg
Volga M 24,2445,4,1300,145
Opel Monza,2969,6,1385,215
Skoda 130 Rapid,1174,4,915,141
Mercedes Benz W124,2996,6,149,180
Trabant 601,595,2,610,110
Honda Prelude,1602,4,920,165
Bitter CD,5400,8,1750,220
VW Golf II,1595,4,870,167
Dacia 1300,1297,4,890,145
Lotus Esoirit turbo,2174,4,1220,245
Zastava 1100Confort,1116,4,802,143
Mazada MX-5,1598,4,965,175
Polski Fiat 126,652,2,600,105
Fiat X I/9,1498,4,914,180
Lada Niva,1568,4,1065,130
Ford Granada,2293,6,1205,172
Chevrolet Camaro,5678,8,1600,205
Tatra 613,3495,8,1600,190
Alfa Romeo GTV6,2492,6,1227,230
Lamborghini Countach,5167,12,1490,295
Ford Sierra,1294,4,997,152
Chevrolet corvette,5400,8,1600,205
BMW M6,3453,6,1583,245
Toyota MR-2,1587,4,975,197
Suzuki Samurai,1298,4,930,130
Daimler Six,3980,6,1708,230
Lancia Delta Integrale,1995,4,1260,220
Porsche 928,4664,8,1450,255
BMW 525,2494,6,1290,197
Saab 900 Turbo,1985,4,1240,195
Audi quatro,2226,5,1350,230
Peugeot 205 GTI,1905,4,860,206